,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,sangar,ru,8.0,1551672953,60.0,63.92,127.47,251.112,0.46
1,viedma,ar,0.0,1551672957,87.0,-40.81,-62.99,290.462,3.96
2,lebu,cl,44.0,1551672957,96.0,-37.62,-73.65,286.512,2.51
3,iqaluit,ca,40.0,1551672769,75.0,63.75,-68.52,248.15,1.0
4,punta arenas,cl,75.0,1551672793,80.0,-53.16,-70.91,278.15,5.7
5,hambantota,lk,90.0,1551669000,88.0,6.12,81.12,300.15,1.5
6,saint-philippe,re,0.0,1551672913,61.0,-21.36,55.77,302.59,2.1
7,georgetown,sh,92.0,1551672959,100.0,-7.93,-14.42,300.112,5.81
8,pontian kecil,my,75.0,1551672902,70.0,1.48,103.39,305.15,2.6
9,atuona,pf,0.0,1551672805,100.0,-9.8,-139.03,300.712,5.51
10,albany,au,40.0,1551672000,64.0,-35.02,117.88,296.15,5.7
11,jiazi,cn,75.0,1551672000,65.0,19.61,110.49,301.15,5.0
12,puerto narino,co,20.0,1551668400,100.0,-3.77,-70.38,297.15,2.11
13,asosa,et,12.0,1551672961,42.0,10.07,34.53,287.062,1.96
15,tiksi,ru,0.0,1551672961,65.0,71.64,128.87,255.012,4.31
16,hermanus,za,36.0,1551672107,95.0,-34.42,19.24,291.48,0.45
17,varhaug,no,75.0,1551672938,93.0,58.61,5.65,278.71,1.5
18,bluff,nz,80.0,1551672605,57.0,-46.6,168.33,293.15,4.92
19,port alfred,za,0.0,1551672889,86.0,-33.59,26.89,292.59,1.34
20,kapaa,us,90.0,1551672810,60.0,22.08,-159.32,296.15,7.7
21,hasaki,jp,75.0,1551672276,93.0,35.73,140.83,284.15,7.7
22,bosaso,so,92.0,1551672876,100.0,11.28,49.18,298.062,1.61
23,souillac,mu,20.0,1551672846,70.0,-20.52,57.52,302.15,3.6
24,coquimbo,cl,0.0,1551672000,87.0,-29.95,-71.34,288.15,1.0
